Action,Time,ISIN,Ticker,Name,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Currency conversion fee,Currency (Currency conversion fee),French transaction tax,Currency (French transaction tax)
Market buy,2025-10-07 18:50:17,US3377381088,FISV,"Fiserv",EOF39910693157,12.0000000000,126.8400000000,USD,1.34313422,,,1134.93,"GBP",,,,,1.70,"GBP",,
Market buy,2025-10-07 18:50:56,US47215P1066,JD,"JD.com",EOF39910693276,15.0000000000,34.8400000000,USD,1.34313397,,,389.67,"GBP",,,,,0.58,"GBP",,
Market buy,2025-10-07 18:53:32,US48581R2058,KSPI,"Kaspi.KZ",EOF39910693877,8.3878010400,76.9100000000,USD,1.34332669,,,480.95,"GBP",,,,,0.72,"GBP",,
Market buy,2025-10-07 18:54:12,US48581R2058,KSPI,"Kaspi.KZ",EOF39910694031,6.6121989600,76.9100000000,USD,1.34325846,,,379.16,"GBP",,,,,0.57,"GBP",,
Market buy,2025-10-21 15:58:39,US35671D8570,FCX,"Freeport-McMoRan",EOF40657670071,15.0000000000,41.3300000000,USD,1.33872465,,,463.78,"GBP",,,,,0.69,"GBP",,
Limit buy,2025-10-21 16:08:28,US02079K1079,GOOG,"Alphabet (Class C)",EOF40657671978,5.0000000000,248.9300000000,USD,1.33935585,,,930.68,"GBP",,,,,1.39,"GBP",,
Market buy,2025-10-21 16:55:12,US78392B1070,HY9H,"SK hynix",EOF40657681786,3.0000000000,293.0000000000,EUR,1.15188048,,,764.24,"GBP",,,,,1.14,"GBP",,
Limit buy,2025-10-21 19:28:20,US02079K1079,GOOG,"Alphabet (Class C)",EOF40660718168,3.0000000000,252.2300000000,USD,1.33702623,,,566.80,"GBP",,,,,0.85,"GBP",,
Limit buy,2025-10-21 19:28:45,US47215P1066,JD,"JD.com",EOF40660718270,10.0000000000,32.8900000000,USD,1.33704622,,,246.36,"GBP",,,,,0.37,"GBP",,
Market buy,2025-10-21 19:29:18,US48581R2058,KSPI,"Kaspi.KZ",EOF40660718393,5.1004430900,74.4700000000,USD,1.33709999,,,284.50,"GBP",,,,,0.43,"GBP",,
Limit buy,2025-10-31 15:39:40,VGG6564A1057,NOMD,"Nomad Foods",EOF41159711187,22.0000000000,11.2900000000,USD,1.31272131,,,189.49,"GBP",,,,,0.28,"GBP",,
Dividend (Dividend),2025-11-03 14:31:56,US35671D8570,FCX,"Freeport-McMoRan",,20.0000000000,0.127500,USD,0.76072200,,,1.94,"GBP",0.45,USD,,,,,,
Stop sell,2025-11-04 14:30:15,CA4436281022,HBM,"Hudbay Minerals",EOF41355174294,23.4130000000,15.0600000000,USD,1.30433092,18.09,"GBP",269.92,"GBP",,,,,0.41,"GBP",,
Stop sell,2025-11-04 14:30:20,CA4436281022,HBM,"Hudbay Minerals",EOF41355184768,16.5870000000,15.0500000000,USD,1.30432284,12.69,"GBP",191.10,"GBP",,,,,0.29,"GBP",,
Limit buy,2025-11-06 15:18:18,US3377381088,FISV,"Fiserv",EOF41455457385,5.0000000000,61.9700000000,USD,1.30937288,,,236.99,"GBP",,,,,0.35,"GBP",,
Stop sell,2025-11-06 15:22:21,US91324P1021,UNH,"UnitedHealth",EOF41455458928,10.0000000000,327.9000000000,USD,1.31025829,253.98,"GBP",2498.81,"GBP",,,,,3.75,"GBP",,
Limit buy,2025-11-06 15:23:19,US48581R2058,KSPI,"Kaspi.KZ",EOF41455459524,5.0000000000,73.3200000000,USD,1.31012793,,,280.24,"GBP",,,,,0.42,"GBP",,
Limit buy,2025-11-06 16:10:17,US0367521038,ELV,"Elevance Health",EOF41455486229,2.0000000000,318.9900000000,USD,1.30983226,,,487.80,"GBP",,,,,0.73,"GBP",,
Limit buy,2025-11-10 14:36:36,US48581R2058,KSPI,"Kaspi.KZ",EOF41659453445,4.9126451700,75.1600000000,USD,1.31592149,,,281.01,"GBP",,,,,0.42,"GBP",,
Limit buy,2025-11-10 14:37:08,US48581R2058,KSPI,"Kaspi.KZ",EOF41659454096,6.0000000000,75.0100000000,USD,1.31611884,,,342.47,"GBP",,,,,0.51,"GBP",,
Limit buy,2025-11-10 14:37:14,US48581R2058,KSPI,"Kaspi.KZ",EOF41659454232,6.0000000000,75.0100000000,USD,1.31615733,,,342.46,"GBP",,,,,0.51,"GBP",,
Limit buy,2025-11-10 14:37:18,US48581R2058,KSPI,"Kaspi.KZ",EOF41659454287,1.0000000000,75.0100000000,USD,1.31619582,,,57.08,"GBP",,,,,0.09,"GBP",,
Limit buy,2025-11-10 14:37:19,US48581R2058,KSPI,"Kaspi.KZ",EOF41659454305,6.0000000000,75.0100000000,USD,1.31611884,,,342.47,"GBP",,,,,0.51,"GBP",,
Limit buy,2025-11-10 14:37:30,US48581R2058,KSPI,"Kaspi.KZ",EOF41659454453,6.0000000000,75.0100000000,USD,1.31619582,,,342.45,"GBP",,,,,0.51,"GBP",,
Limit buy,2025-11-10 14:37:34,US48581R2058,KSPI,"Kaspi.KZ",EOF41659454528,6.0000000000,75.0100000000,USD,1.31623431,,,342.44,"GBP",,,,,0.51,"GBP",,
Limit buy,2025-11-10 14:37:34,US48581R2058,KSPI,"Kaspi.KZ",EOF41659454543,6.0000000000,75.0100000000,USD,1.31623431,,,342.44,"GBP",,,,,0.51,"GBP",,
Limit buy,2025-11-10 14:37:46,US48581R2058,KSPI,"Kaspi.KZ",EOF41659455069,1.0873548300,75.0100000000,USD,1.31637323,,,62.05,"GBP",,,,,0.09,"GBP",,
Limit buy,2025-11-10 14:41:50,US48581R2058,KSPI,"Kaspi.KZ",EOF41659459494,3.0000000000,76.2200000000,USD,1.31610452,,,174.00,"GBP",,,,,0.26,"GBP",,
Limit sell,2025-11-10 14:42:13,US47215P1066,JD,"JD.com",EOF41659459678,40.0000000000,31.3700000000,USD,1.31633884,-78.25,"GBP",951.82,"GBP",,,,,1.43,"GBP",,
Limit buy,2025-11-10 15:03:32,VGG6564A1057,NOMD,"Nomad Foods",EOF41659474408,28.0000000000,12.1400000000,USD,1.31685584,,,258.52,"GBP",,,,,0.39,"GBP",,
Limit buy,2025-11-14 15:12:34,US7391281067,POWL,"Powell Industries",EOF41858254512,1.0000000000,322.1600000000,USD,1.31472412,,,245.41,"GBP",,,,,0.37,"GBP",,
Limit buy,2025-11-18 15:43:08,US94106L1098,UWS,"Waste Management",EOF42055281629,2.0000000000,181.6600000000,EUR,1.13477215,,,320.65,"GBP",,,,,0.48,"GBP",,
Market sell,2025-11-18 20:31:12,US5500211090,LULU,"Lululemon Athletica",EOF42057289129,5.0000000000,164.4700000000,USD,1.31519183,36.06,"GBP",624.33,"GBP",,,,,0.94,"GBP",,
Market sell,2025-11-18 20:34:03,US35671D8570,FCX,"Freeport-McMoRan",EOF42057289416,15.0000000000,40.4400000000,USD,1.31520749,32.71,"GBP",460.53,"GBP",,,,,0.69,"GBP",,
