Action,Time,ISIN,Ticker,Name,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Currency conversion fee,Currency (Currency conversion fee)
Limit buy,16/04/2026 08:01:00,XS3091646797,3SSM,WisdomTree PHLX Semiconductor 3x Daily Short (Acc),EOF49651208175,29.16758379,2.494,GBP,1,,,72.74,GBP,,,,
Limit buy,16/04/2026 08:01:00,XS3091646797,3SSM,WisdomTree PHLX Semiconductor 3x Daily Short (Acc),EOF49651208188,32,2.494,GBP,1,,,79.81,GBP,,,,
Limit buy,16/04/2026 08:01:00,XS3091646797,3SSM,WisdomTree PHLX Semiconductor 3x Daily Short (Acc),EOF49651208194,32,2.494,GBP,1,,,79.81,GBP,,,,
Limit buy,16/04/2026 08:01:00,XS3091646797,3SSM,WisdomTree PHLX Semiconductor 3x Daily Short (Acc),EOF49651208258,6.83241621,2.506,GBP,1,,,17.12,GBP,,,,
Limit buy,20/04/2026 11:33:00,XS3091646797,3SSM,WisdomTree PHLX Semiconductor 3x Daily Short (Acc),EOF49855557427,23.21717282,2.324,GBP,1,,,53.96,GBP,,,,
Limit buy,20/04/2026 11:33:00,XS3091646797,3SSM,WisdomTree PHLX Semiconductor 3x Daily Short (Acc),EOF49855557433,28,2.324,GBP,1,,,65.07,GBP,,,,
Limit buy,20/04/2026 11:33:00,XS3091646797,3SSM,WisdomTree PHLX Semiconductor 3x Daily Short (Acc),EOF49855557434,28,2.324,GBP,1,,,65.07,GBP,,,,
Limit buy,20/04/2026 11:33:00,XS3091646797,3SSM,WisdomTree PHLX Semiconductor 3x Daily Short (Acc),EOF49855557440,28,2.322,GBP,1,,,65.02,GBP,,,,
Limit buy,20/04/2026 11:33:00,XS3091646797,3SSM,WisdomTree PHLX Semiconductor 3x Daily Short (Acc),EOF49855557464,28,2.324,GBP,1,,,65.07,GBP,,,,
Limit buy,20/04/2026 11:33:00,XS3091646797,3SSM,WisdomTree PHLX Semiconductor 3x Daily Short (Acc),EOF49855557467,28,2.324,GBP,1,,,65.07,GBP,,,,
Limit buy,20/04/2026 11:33:00,XS3091646797,3SSM,WisdomTree PHLX Semiconductor 3x Daily Short (Acc),EOF49855557468,41,2.324,GBP,1,,,95.28,GBP,,,,
Limit buy,20/04/2026 11:33:00,XS3091646797,3SSM,WisdomTree PHLX Semiconductor 3x Daily Short (Acc),EOF49855557473,41,2.322,GBP,1,,,95.2,GBP,,,,
Limit buy,20/04/2026 11:33:00,XS3091646797,3SSM,WisdomTree PHLX Semiconductor 3x Daily Short (Acc),EOF49855557495,41,2.324,GBP,1,,,95.28,GBP,,,,
Limit buy,20/04/2026 11:34:00,XS3091646797,3SSM,WisdomTree PHLX Semiconductor 3x Daily Short (Acc),EOF49855557582,13.78282718,2.324,GBP,1,,,32.03,GBP,,,,
Limit buy,22/04/2026 10:18:00,XS3091646797,3SSM,WisdomTree PHLX Semiconductor 3x Daily Short (Acc),EOF49950098556,19.14474,2.19,GBP,1,,,41.93,GBP,,,,
Limit buy,22/04/2026 10:18:00,XS3091646797,3SSM,WisdomTree PHLX Semiconductor 3x Daily Short (Acc),EOF49950098558,35,2.19,GBP,1,,,76.65,GBP,,,,
Limit buy,22/04/2026 10:18:00,XS3091646797,3SSM,WisdomTree PHLX Semiconductor 3x Daily Short (Acc),EOF49950098559,35,2.19,GBP,1,,,76.65,GBP,,,,
Limit buy,22/04/2026 10:18:00,XS3091646797,3SSM,WisdomTree PHLX Semiconductor 3x Daily Short (Acc),EOF49950098560,35,2.19,GBP,1,,,76.65,GBP,,,,
Limit buy,22/04/2026 10:18:00,XS3091646797,3SSM,WisdomTree PHLX Semiconductor 3x Daily Short (Acc),EOF49950098577,35,2.19,GBP,1,,,76.65,GBP,,,,
Dividend (Dividend),01/05/2026 15:03:00,US78392B1070,HY9H,SK hynix,,2,0.840284,EUR,0.8626,,,1.45,GBP,0.47,EUR,,
