Item,Rubrik,Amount (DKK)
Udbytte af danske aktier,66,0.00
Udbytte af udenlandske aktier,67,346.47
Gevinst/tab ved salg af aktier,68,-4698.04
Foreign WHT paid (lempelse),-,56.94
Interest (kapitalindkomst),30,0.00
,,
Total aktieindkomst,-,-4351.57
Estimated tax (gross),-,0.00
Foreign tax credit,-,0.00
Estimated net tax,-,0.00
